home_team,away_team,date,deflections,charges_drawn,screen_assists,loose_balls_recovered,box_outs,pts_off_tov,second_chance_pts,fastbreak_pts,pts_in_paint,distance_run,hocket_assists,total_passes
LAC,MEM,2020-01-04,32,1,33,15,29,21.0,30.0,38.0,114.0,36.97,6,587
BKN,TOR,2020-01-04,19,1,19,18,44,41.0,29.0,30.0,88.0,34.8,10,595
ORL,UTA,2020-01-04,21,0,32,12,30,15.0,26.0,16.0,74.0,34.72,2,546
ATL,IND,2020-01-04,34,0,20,15,33,26.0,34.0,20.0,90.0,36.41,4,533
CLE,OKC,2020-01-04,27,1,25,16,24,35.0,33.0,17.0,94.0,35.09,9,542
CHI,BOS,2020-01-04,39,2,11,14,29,51.0,19.0,42.0,98.0,36.04,5,595
WAS,DEN,2020-01-04,24,2,23,17,29,34.0,36.0,23.0,124.0,36.379999999999995,6,591
DAL,CHO,2020-01-04,24,2,16,18,30,31.0,39.0,32.0,116.0,38.54,5,626
GSW,DET,2020-01-04,34,1,16,19,27,42.0,23.0,22.0,84.0,37.17,5,609
MIL,SAS,2020-01-04,22,1,27,12,38,18.0,16.0,21.0,66.0,37.31,4,598
SAC,NOP,2020-01-04,39,2,11,14,23,51.0,35.0,31.0,90.0,37.31,7,603
LAC,NYK,2020-01-05,32,3,30,9,35,40.0,26.0,35.0,98.0,36.6,5,560
MIA,POR,2020-01-05,28,1,21,10,22,22.0,18.0,26.0,98.0,34.51,6,543
CLE,MIN,2020-01-05,34,1,26,18,17,43.0,30.0,14.0,108.0,34.54,4,595
PHO,MEM,2020-01-05,30,1,18,16,46,31.0,20.0,32.0,98.0,35.769999999999996,6,593
LAL,DET,2020-01-05,40,1,10,20,20,27.0,27.0,35.0,98.0,35.4,3,525
ORL,BKN,2020-01-06,31,0,15,19,53,30.0,27.0,23.0,94.0,35.59,4,541
WAS,BOS,2020-01-06,38,0,15,20,32,29.0,32.0,29.0,86.0,35.92,1,586
CHO,IND,2020-01-06,33,1,16,16,31,27.0,20.0,20.0,112.0,35.89,9,656
PHI,OKC,2020-01-06,19,3,28,17,53,30.0,27.0,33.0,102.0,34.68,5,524
ATL,DEN,2020-01-06,23,1,19,6,25,17.0,23.0,18.0,92.0,35.8,4,549
NOP,UTA,2020-01-06,24,0,49,11,29,20.0,24.0,26.0,106.0,36.99,4,562
DAL,CHI,2020-01-06,31,0,15,14,30,35.0,29.0,36.0,118.0,35.980000000000004,6,561
SAS,MIL,2020-01-06,17,0,16,7,28,19.0,27.0,24.0,74.0,35.59,5,581
SAC,GSW,2020-01-06,45,0,17,26,17,42.0,13.0,31.0,88.0,37.92,6,650
CLE,DET,2020-01-07,35,1,18,9,34,33.0,21.0,22.0,100.0,35.34,8,546
TOR,POR,2020-01-07,25,0,12,9,21,27.0,25.0,37.0,68.0,34.5,7,558
BKN,OKC,2020-01-07,27,1,20,19,52,25.0,18.0,18.0,92.0,38.78,3,574
MEM,MIN,2020-01-07,26,1,17,11,15,35.0,26.0,35.0,110.0,35.78,5,606
PHO,SAC,2020-01-07,36,1,12,9,26,40.0,21.0,24.0,70.0,35.54,4,594
LAL,NYK,2020-01-07,33,0,18,12,34,44.0,18.0,47.0,84.0,36.26,2,594
IND,MIA,2020-01-08,25,0,16,11,24,30.0,26.0,32.0,92.0,36.17,8,593
BOS,SAS,2020-01-08,29,0,26,9,29,33.0,15.0,26.0,86.0,36.730000000000004,8,584
CHO,TOR,2020-01-08,31,1,12,20,44,49.0,38.0,32.0,92.0,38.31,12,711
ORL,WAS,2020-01-08,37,1,22,21,26,51.0,24.0,17.0,98.0,36.34,7,625
DAL,DEN,2020-01-08,24,2,16,12,32,29.0,24.0,20.0,102.0,35.57,10,590
ATL,HOU,2020-01-08,21,2,10,17,51,30.0,37.0,25.0,94.0,35.480000000000004,2,477
NOP,CHI,2020-01-08,31,1,14,17,22,34.0,20.0,47.0,102.0,37.05,12,601
UTA,NYK,2020-01-08,15,1,35,6,39,22.0,28.0,19.0,98.0,35.25,5,578
GSW,MIL,2020-01-08,29,0,16,20,32,23.0,12.0,30.0,64.0,37.03,12,670
PHI,BOS,2020-01-09,20,0,26,6,44,35.0,18.0,26.0,88.0,34.260000000000005,7,491
DET,CLE,2020-01-09,32,1,34,12,25,40.0,37.0,14.0,144.0,38.03,3,571
MIN,POR,2020-01-09,24,0,12,14,15,30.0,34.0,22.0,88.0,35.33,2,550
OKC,HOU,2020-01-09,28,3,15,15,36,27.0,14.0,18.0,86.0,33.91,6,499
WAS,ATL,2020-01-10,28,3,22,17,39,32.0,35.0,27.0,118.0,37.26,2,538
NYK,NOP,2020-01-10,23,2,11,15,41,47.0,21.0,29.0,120.0,36.47,9,628
BKN,MIA,2020-01-10,21,0,20,7,28,28.0,33.0,23.0,118.0,35.32,7,563
CHI,IND,2020-01-10,34,1,22,14,32,20.0,17.0,32.0,106.0,36.129999999999995,6,579
MEM,SAS,2020-01-10,17,0,25,11,37,30.0,35.0,31.0,92.0,36.41,9,581
UTA,CHO,2020-01-10,26,2,17,22,23,46.0,22.0,11.0,84.0,34.44,4,631
PHO,ORL,2020-01-10,34,0,16,22,39,25.0,23.0,25.0,74.0,35.980000000000004,2,567
DAL,LAL,2020-01-10,25,1,26,16,35,32.0,33.0,39.0,108.0,36.28,5,570
SAC,MIL,2020-01-10,27,0,24,17,25,29.0,8.0,34.0,116.0,37.49,8,597
LAC,GSW,2020-01-10,34,2,18,14,29,25.0,26.0,18.0,88.0,36.980000000000004,6,624
HOU,MIN,2020-01-11,34,0,15,18,36,48.0,23.0,26.0,104.0,35.66,4,559
DET,CHI,2020-01-11,35,3,8,11,24,37.0,22.0,18.0,108.0,36.45,8,576
BOS,NOP,2020-01-11,33,0,24,12,23,27.0,30.0,40.0,116.0,36.57,11,577
OKC,LAL,2020-01-11,30,1,27,13,31,21.0,36.0,16.0,116.0,35.269999999999996,8,541
DAL,PHI,2020-01-11,21,0,10,12,25,21.0,35.0,32.0,100.0,33.63,4,528
DEN,CLE,2020-01-11,31,1,15,22,37,26.0,28.0,19.0,114.0,34.18,9,554
POR,MIL,2020-01-11,26,2,24,12,41,33.0,23.0,39.0,82.0,36.35,6,516
NYK,MIA,2020-01-12,33,1,26,21,33,35.0,28.0,16.0,118.0,35.51,9,587
WAS,UTA,2020-01-12,24,1,37,12,28,29.0,28.0,16.0,124.0,36.14,4,582
BKN,ATL,2020-01-12,45,0,17,22,42,36.0,18.0,36.0,86.0,36.96,3,547
MEM,GSW,2020-01-12,39,0,24,16,23,53.0,40.0,51.0,88.0,36.68,9,599
TOR,SAS,2020-01-12,35,1,8,12,27,29.0,18.0,35.0,84.0,36.44,19,636
PHO,CHO,2020-01-12,34,2,13,13,39,28.0,20.0,26.0,114.0,35.57,4,602
DEN,LAC,2020-01-12,33,2,22,14,24,42.0,15.0,16.0,84.0,35.36,7,570
DET,NOP,2020-01-13,32,2,23,22,25,39.0,34.0,23.0,110.0,40.6,3,617
IND,PHI,2020-01-13,20,1,24,8,33,28.0,17.0,21.0,82.0,34.629999999999995,3,522
BOS,CHI,2020-01-13,34,1,12,12,28,32.0,24.0,35.0,110.0,35.66,2,567
MIN,OKC,2020-01-13,25,2,14,16,29,24.0,27.0,23.0,86.0,34.95,6,580
POR,CHO,2020-01-13,29,1,25,14,27,21.0,23.0,27.0,82.0,35.019999999999996,8,548
SAC,ORL,2020-01-13,31,0,24,13,33,24.0,29.0,17.0,106.0,35.91,4,514
LAL,CLE,2020-01-13,28,4,23,22,48,43.0,28.0,35.0,118.0,35.04,6,564
ATL,PHO,2020-01-14,20,0,23,13,26,35.0,32.0,19.0,118.0,36.86,1,496
BKN,UTA,2020-01-14,17,1,42,16,43,25.0,24.0,15.0,118.0,34.72,2,499
MEM,HOU,2020-01-14,19,0,14,13,33,23.0,22.0,32.0,100.0,34.15,5,486
MIL,NYK,2020-01-14,27,1,21,21,32,29.0,24.0,32.0,104.0,37.620000000000005,3,611
LAC,CLE,2020-01-14,28,0,34,16,35,37.0,38.0,32.0,102.0,36.24,10,581
GSW,DAL,2020-01-14,22,1,20,11,25,26.0,32.0,18.0,106.0,35.17,6,589
PHI,BKN,2020-01-15,21,0,32,14,36,31.0,22.0,29.0,108.0,35.489999999999995,4,543
BOS,DET,2020-01-15,35,2,22,16,32,31.0,18.0,21.0,98.0,34.91,5,540
MIA,SAS,2020-01-15,26,1,22,13,25,23.0,14.0,15.0,76.0,35.36,5,578
MIN,IND,2020-01-15,23,2,23,11,20,26.0,27.0,17.0,102.0,34.85,3,600
OKC,TOR,2020-01-15,38,1,13,17,25,65.0,24.0,24.0,110.0,35.22,16,617
CHI,WAS,2020-01-15,32,1,19,16,29,40.0,20.0,14.0,98.0,36.489999999999995,7,579
DEN,CHO,2020-01-15,39,3,8,14,23,29.0,18.0,29.0,96.0,35.14,8,637
HOU,POR,2020-01-15,22,0,8,16,42,23.0,33.0,17.0,84.0,33.900000000000006,5,473
SAC,DAL,2020-01-15,21,1,17,12,33,25.0,40.0,35.0,124.0,36.06,3,530
LAL,ORL,2020-01-15,28,2,12,15,45,35.0,25.0,39.0,112.0,35.879999999999995,6,561
NYK,PHO,2020-01-16,32,1,21,20,47,34.0,25.0,25.0,96.0,36.489999999999995,6,595
MIL,BOS,2020-01-16,23,2,31,19,47,25.0,21.0,43.0,86.0,36.61,4,529
NOP,UTA,2020-01-16,26,0,32,11,31,32.0,32.0,32.0,118.0,40.82,8,650
GSW,DEN,2020-01-16,44,0,23,25,37,50.0,35.0,41.0,86.0,41.03,12,731
LAC,ORL,2020-01-16,27,1,39,7,36,26.0,30.0,19.0,84.0,36.32,7,544
PHI,CHI,2020-01-17,28,0,20,14,23,38.0,12.0,35.0,98.0,35.040000000000006,5,550
IND,MIN,2020-01-17,23,1,30,15,26,31.0,12.0,34.0,86.0,35.34,3,596
TOR,WAS,2020-01-17,41,6,14,16,33,49.0,28.0,53.0,98.0,37.0,7,690
MEM,CLE,2020-01-17,27,1,18,19,23,29.0,26.0,43.0,124.0,35.75,8,572
OKC,MIA,2020-01-17,33,2,14,12,35,25.0,22.0,16.0,78.0,34.26,11,653
SAS,ATL,2020-01-17,32,1,12,18,33,49.0,29.0,46.0,82.0,37.43,4,521
DAL,POR,2020-01-17,21,0,27,15,33,31.0,30.0,26.0,92.0,34.0,3,487
NOP,LAC,2020-01-18,28,3,26,11,25,42.0,36.0,23.0,116.0,38.07,3,593
BKN,MIL,2020-01-18,32,4,21,23,31,35.0,18.0,31.0,84.0,36.34,8,581
BOS,PHO,2020-01-18,32,0,13,17,36,37.0,19.0,29.0,92.0,36.7,9,556
ATL,DET,2020-01-18,34,0,19,11,19,41.0,28.0,25.0,116.0,36.1,5,532
NYK,PHI,2020-01-18,25,0,23,17,34,20.0,19.0,25.0,76.0,34.34,10,541
CHI,CLE,2020-01-18,37,0,26,18,30,45.0,23.0,14.0,108.0,34.95,7,516
MIN,TOR,2020-01-18,32,1,19,20,22,40.0,21.0,26.0,104.0,35.6,7,647
HOU,LAL,2020-01-18,34,4,21,15,36,41.0,28.0,29.0,106.0,34.84,5,484
GSW,ORL,2020-01-18,20,2,22,13,31,31.0,14.0,17.0,100.0,35.98,7,589
OKC,POR,2020-01-18,21,1,21,11,25,27.0,24.0,11.0,106.0,34.74,5,492
UTA,SAC,2020-01-18,26,1,22,14,27,25.0,15.0,24.0,108.0,35.459999999999994,2,549
SAS,MIA,2020-01-19,24,0,14,15,31,33.0,24.0,23.0,76.0,36.3,10,613
DEN,IND,2020-01-19,37,1,24,13,34,21.0,34.0,10.0,112.0,35.69,12,590
WAS,DET,2020-01-20,33,2,18,16,22,49.0,31.0,14.0,98.0,36.44,3,583
ATL,TOR,2020-01-20,38,2,10,19,30,52.0,31.0,21.0,106.0,37.06,6,601
BKN,PHI,2020-01-20,29,0,27,21,51,31.0,36.0,29.0,98.0,36.05,11,561
MIL,CHI,2020-01-20,30,2,19,12,45,45.0,25.0,23.0,98.0,36.760000000000005,6,592
MEM,NOP,2020-01-20,35,1,24,29,29,35.0,29.0,52.0,106.0,37.400000000000006,6,645
CLE,NYK,2020-01-20,33,1,17,10,39,23.0,28.0,25.0,90.0,34.29,3,534
HOU,OKC,2020-01-20,27,2,9,13,39,40.0,16.0,26.0,108.0,33.620000000000005,4,497
CHO,ORL,2020-01-20,24,0,13,19,24,19.0,29.0,7.0,90.0,34.760000000000005,6,617
MIA,SAC,2020-01-20,28,2,24,11,36,28.0,33.0,17.0,102.0,38.22,7,670
BOS,LAL,2020-01-20,39,1,18,16,38,44.0,38.0,36.0,114.0,36.18,2,582
MIN,DEN,2020-01-20,29,0,8,11,20,21.0,40.0,11.0,94.0,34.47,3,645
UTA,IND,2020-01-20,36,1,29,17,11,41.0,26.0,25.0,104.0,35.82,7,601
PHO,SAS,2020-01-20,30,1,23,23,37,37.0,22.0,18.0,78.0,36.36,2,560
POR,GSW,2020-01-20,22,0,24,14,33,18.0,38.0,39.0,104.0,38.879999999999995,6,606
DAL,LAC,2020-01-21,42,2,23,20,47,33.0,30.0,24.0,78.0,35.94,8,546
ORL,OKC,2020-01-22,26,1,25,8,37,42.0,17.0,20.0,108.0,35.36,7,547
TOR,PHI,2020-01-22,33,3,13,12,44,31.0,23.0,41.0,70.0,35.35,8,578
DET,SAC,2020-01-22,27,0,18,19,32,36.0,24.0,20.0,106.0,37.980000000000004,1,549
ATL,LAC,2020-01-22,30,1,17,7,37,20.0,31.0,17.0,96.0,36.39,6,560
NYK,LAL,2020-01-22,39,0,12,14,43,41.0,38.0,14.0,78.0,33.79,8,584
BOS,MEM,2020-01-22,33,0,11,3,19,38.0,19.0,38.0,86.0,35.69,6,611
MIA,WAS,2020-01-22,35,1,27,8,27,39.0,18.0,20.0,102.0,39.64,10,679
HOU,DEN,2020-01-22,33,0,9,18,33,38.0,31.0,46.0,110.0,34.35,9,549
CHI,MIN,2020-01-22,28,2,16,11,30,40.0,38.0,20.0,104.0,36.379999999999995,11,604
PHO,IND,2020-01-22,29,1,28,15,29,23.0,21.0,17.0,98.0,36.67,5,578
NOP,SAS,2020-01-22,23,1,26,13,33,26.0,23.0,19.0,92.0,38.370000000000005,8,611
GSW,UTA,2020-01-22,23,0,29,10,34,24.0,27.0,27.0,102.0,36.13,5,649
CLE,WAS,2020-01-23,25,2,25,18,30,26.0,23.0,9.0,108.0,34.5,5,563
BKN,LAL,2020-01-23,28,0,9,13,18,46.0,23.0,61.0,86.0,35.61,10,582
POR,DAL,2020-01-23,23,0,18,11,25,31.0,32.0,52.0,96.0,33.86,5,478
CHO,MIL,2020-01-24,36,0,14,24,38,28.0,30.0,23.0,94.0,0.0,0,0
ORL,BOS,2020-01-24,29,1,33,18,36,33.0,26.0,21.0,78.0,34.96,4,547
DET,MEM,2020-01-24,30,1,21,10,31,29.0,28.0,25.0,106.0,36.260000000000005,8,550
NYK,TOR,2020-01-24,32,2,17,17,34,34.0,35.0,33.0,88.0,33.71,9,613
OKC,ATL,2020-01-24,21,3,23,16,37,29.0,27.0,16.0,114.0,36.42,6,534
NOP,DEN,2020-01-24,32,1,18,18,45,28.0,48.0,35.0,84.0,36.46,2,589
MIN,HOU,2020-01-24,37,3,14,24,34,38.0,14.0,28.0,130.0,34.47,7,553
MIA,LAC,2020-01-24,23,0,15,8,24,25.0,22.0,14.0,94.0,36.2,5,574
CHI,SAC,2020-01-24,27,2,9,21,26,28.0,14.0,33.0,90.0,35.75,8,619
SAS,PHO,2020-01-24,32,2,22,18,32,37.0,20.0,23.0,84.0,35.94,7,584
GSW,IND,2020-01-24,33,0,22,8,19,44.0,21.0,35.0,84.0,36.620000000000005,5,637
UTA,DAL,2020-01-25,17,2,23,15,32,28.0,40.0,15.0,88.0,34.51,2,501
DET,BKN,2020-01-25,22,1,24,21,40,17.0,23.0,27.0,104.0,38.510000000000005,5,569
CLE,CHI,2020-01-25,34,1,20,25,30,43.0,22.0,24.0,108.0,35.29,8,585
MIN,OKC,2020-01-25,32,0,22,10,18,28.0,13.0,6.0,90.0,35.730000000000004,7,616
PHI,LAL,2020-01-25,30,2,15,19,37,64.0,14.0,33.0,90.0,34.39,2,500
DEN,HOU,2020-01-26,21,1,15,11,27,24.0,27.0,17.0,100.0,34.49,4,540
SAS,TOR,2020-01-26,25,0,7,19,37,34.0,29.0,29.0,72.0,35.879999999999995,10,650
NYK,BKN,2020-01-26,13,1,25,13,40,35.0,31.0,16.0,100.0,34.120000000000005,3,551
NOP,BOS,2020-01-26,28,5,25,13,28,41.0,26.0,31.0,108.0,36.370000000000005,10,601
ORL,LAC,2020-01-26,32,0,20,22,33,31.0,34.0,15.0,84.0,35.58,3,566
MEM,PHO,2020-01-26,41,0,20,18,33,45.0,29.0,37.0,104.0,37.8,5,596
ATL,WAS,2020-01-26,26,0,25,14,54,34.0,28.0,26.0,112.0,36.769999999999996,6,552
POR,IND,2020-01-26,29,1,30,10,18,22.0,30.0,18.0,104.0,35.51,8,576
DET,CLE,2020-01-27,32,3,22,14,25,26.0,37.0,15.0,106.0,34.89,3,572
MIA,ORL,2020-01-27,21,0,22,12,32,18.0,18.0,24.0,86.0,34.489999999999995,4,569
OKC,DAL,2020-01-27,14,4,21,15,27,7.0,22.0,18.0,72.0,34.349999999999994,4,572
MIN,SAC,2020-01-27,25,1,20,13,34,41.0,28.0,22.0,78.0,38.36,2,647
CHI,SAS,2020-01-27,25,3,14,12,32,28.0,34.0,13.0,98.0,36.39,7,589
UTA,HOU,2020-01-27,19,1,20,10,34,43.0,29.0,30.0,96.0,35.760000000000005,4,510
PHI,GSW,2020-01-28,33,0,24,9,32,37.0,15.0,35.0,88.0,35.95,6,644
CHO,NYK,2020-01-28,22,0,18,13,34,39.0,22.0,19.0,90.0,35.45,7,614
TOR,ATL,2020-01-28,41,0,13,12,27,43.0,20.0,45.0,110.0,37.55,4,597
CLE,NOP,2020-01-28,43,0,21,21,41,34.0,22.0,22.0,114.0,36.019999999999996,2,577
MIA,BOS,2020-01-28,27,3,20,13,29,27.0,36.0,29.0,82.0,35.53,6,546
MEM,DEN,2020-01-28,44,0,10,14,21,25.0,19.0,28.0,98.0,35.81,8,629
MIL,WAS,2020-01-28,17,3,25,13,38,38.0,35.0,43.0,88.0,37.120000000000005,8,602
DAL,PHO,2020-01-28,23,0,17,14,24,34.0,17.0,35.0,112.0,35.33,5,586
IND,CHI,2020-01-29,37,2,22,11,25,47.0,19.0,31.0,142.0,38.59,5,646
BKN,DET,2020-01-29,27,0,24,16,34,28.0,19.0,34.0,104.0,35.75,9,551
NYK,MEM,2020-01-29,24,1,28,7,38,39.0,26.0,14.0,106.0,35.71,2,571
SAS,UTA,2020-01-29,24,1,28,11,40,13.0,26.0,32.0,82.0,36.81,5,550
POR,HOU,2020-01-29,37,1,10,18,24,29.0,25.0,31.0,92.0,33.66,10,501
SAC,OKC,2020-01-29,34,1,24,19,25,32.0,31.0,33.0,96.0,35.71,10,587
WAS,CHO,2020-01-30,23,5,11,11,30,31.0,40.0,27.0,108.0,35.75,8,600
CLE,TOR,2020-01-30,34,1,14,16,37,40.0,26.0,21.0,96.0,34.67,6,595
ATL,PHI,2020-01-30,37,1,17,15,45,28.0,26.0,24.0,106.0,36.66,5,585
BOS,GSW,2020-01-30,48,1,24,22,21,42.0,20.0,36.0,72.0,36.3,5,644
LAC,SAC,2020-01-30,37,0,20,18,20,32.0,22.0,31.0,78.0,36.959999999999994,6,576
DEN,UTA,2020-01-30,29,0,18,19,50,32.0,22.0,22.0,76.0,34.57,3,581
DET,TOR,2020-01-31,36,0,13,18,37,31.0,20.0,20.0,94.0,34.709999999999994,9,598
BKN,CHI,2020-01-31,25,1,16,6,27,41.0,19.0,39.0,112.0,35.95,8,557
HOU,DAL,2020-01-31,32,2,3,15,16,24.0,36.0,26.0,98.0,34.489999999999995,9,538
NOP,MEM,2020-01-31,37,3,24,14,33,40.0,35.0,28.0,134.0,36.67,4,629
MIL,DEN,2020-01-31,27,3,27,18,46,19.0,20.0,33.0,92.0,36.64,3,585
PHO,OKC,2020-01-31,36,2,17,20,21,40.0,27.0,23.0,90.0,34.650000000000006,7,542
LAL,POR,2020-01-31,37,0,19,13,33,25.0,42.0,66.0,120.0,35.18,6,515
LAC,MIN,2020-02-01,36,2,15,14,29,27.0,21.0,39.0,108.0,36.83,5,600
ORL,MIA,2020-02-01,24,2,22,14,31,29.0,13.0,8.0,72.0,33.989999999999995,2,573
IND,NYK,2020-02-01,33,3,17,12,37,26.0,23.0,13.0,68.0,34.510000000000005,3,580
WAS,BKN,2020-02-01,19,2,20,14,44,32.0,36.0,19.0,96.0,35.58,8,576
CLE,GSW,2020-02-01,23,2,25,9,21,29.0,25.0,35.0,98.0,35.269999999999996,7,626
DAL,ATL,2020-02-01,29,1,17,13,42,25.0,29.0,37.0,88.0,36.06,4,543
BOS,PHI,2020-02-01,32,1,15,20,29,23.0,33.0,33.0,92.0,34.69,7,538
SAS,CHO,2020-02-01,25,2,14,17,32,37.0,22.0,19.0,102.0,36.3,12,636
SAC,LAL,2020-02-01,30,1,13,16,41,36.0,29.0,51.0,84.0,36.099999999999994,7,611
POR,UTA,2020-02-01,28,0,33,13,27,24.0,31.0,29.0,86.0,35.269999999999996,2,521
DET,DEN,2020-02-02,35,0,19,19,21,15.0,31.0,19.0,110.0,38.58,4,656
HOU,NOP,2020-02-02,34,0,18,24,34,33.0,28.0,26.0,106.0,35.81,11,555
MIL,PHO,2020-02-02,22,2,23,18,44,25.0,34.0,35.0,102.0,36.93,8,579
TOR,CHI,2020-02-02,29,2,11,17,40,33.0,27.0,33.0,96.0,35.9,6,609
IND,DAL,2020-02-03,22,1,21,8,34,15.0,32.0,19.0,86.0,34.99,6,589
WAS,GSW,2020-02-03,23,3,18,11,24,23.0,20.0,20.0,88.0,37.13,10,671
CLE,NYK,2020-02-03,28,2,23,10,39,38.0,21.0,15.0,120.0,37.53,7,618
CHO,ORL,2020-02-03,22,0,16,12,24,27.0,32.0,25.0,100.0,35.22,12,614
ATL,BOS,2020-02-03,39,3,15,12,41,39.0,34.0,30.0,116.0,34.54,6,527
MIA,PHI,2020-02-03,31,0,26,16,33,28.0,24.0,22.0,88.0,34.55,10,606
BKN,PHO,2020-02-03,29,0,19,7,28,29.0,33.0,30.0,96.0,35.69,5,534
MEM,DET,2020-02-03,34,0,22,16,32,26.0,26.0,25.0,118.0,35.25,1,610
SAC,MIN,2020-02-03,29,0,19,20,35,38.0,30.0,19.0,86.0,34.81,5,589
LAC,SAS,2020-02-03,25,1,26,9,36,14.0,10.0,30.0,80.0,36.010000000000005,9,545
NOP,MIL,2020-02-04,30,0,25,15,48,45.0,28.0,47.0,100.0,37.89,9,616
HOU,CHO,2020-02-04,29,0,4,12,17,25.0,36.0,20.0,96.0,34.22,9,577
DEN,POR,2020-02-04,27,0,17,16,27,23.0,29.0,15.0,100.0,34.480000000000004,4,535
LAL,SAS,2020-02-04,17,2,22,6,35,17.0,32.0,30.0,112.0,35.6,6,543
DET,PHO,2020-02-05,35,0,16,12,22,25.0,25.0,21.0,118.0,35.239999999999995,10,576
BKN,GSW,2020-02-05,17,0,22,9,30,22.0,24.0,24.0,106.0,35.07,7,596
TOR,IND,2020-02-05,26,1,14,17,33,38.0,19.0,38.0,90.0,35.72,4,589
BOS,ORL,2020-02-05,36,1,23,16,40,23.0,22.0,24.0,84.0,34.92,6,546
MIN,ATL,2020-02-05,32,1,19,24,23,49.0,17.0,21.0,122.0,36.06,9,577
OKC,CLE,2020-02-05,20,0,16,8,22,39.0,17.0,24.0,86.0,34.66,8,609
DAL,MEM,2020-02-05,28,3,19,14,39,28.0,23.0,32.0,86.0,35.78,6,583
UTA,DEN,2020-02-05,25,1,22,10,25,30.0,27.0,31.0,84.0,34.47,9,606
LAC,MIA,2020-02-05,27,2,21,11,37,39.0,23.0,21.0,78.0,32.54,5,579
NYK,ORL,2020-02-06,33,2,18,16,43,39.0,27.0,17.0,104.0,35.75,1,580
CHI,NOP,2020-02-06,43,3,20,17,37,46.0,33.0,35.0,124.0,37.72,8,648
MIL,PHI,2020-02-06,30,0,19,20,27,29.0,26.0,30.0,78.0,36.15,2,541
POR,SAS,2020-02-06,20,0,32,13,31,19.0,24.0,26.0,92.0,35.56,7,513
LAL,HOU,2020-02-06,42,1,11,14,38,33.0,17.0,44.0,102.0,34.08,8,570
WAS,DAL,2020-02-07,31,1,17,15,35,37.0,29.0,35.0,88.0,35.980000000000004,5,563
PHI,MEM,2020-02-07,40,3,17,16,24,38.0,18.0,42.0,110.0,36.11,13,558
BOS,ATL,2020-02-07,32,2,16,20,40,34.0,26.0,21.0,72.0,35.019999999999996,8,599
OKC,DET,2020-02-07,25,0,23,14,26,26.0,43.0,2.0,98.0,34.44,8,592
IND,TOR,2020-02-07,29,4,14,15,37,33.0,19.0,33.0,98.0,35.94,4,584
PHO,HOU,2020-02-07,34,0,5,16,14,41.0,22.0,31.0,86.0,34.91,8,587
SAC,MIA,2020-02-07,36,6,11,16,26,42.0,26.0,20.0,84.0,35.230000000000004,9,652
UTA,POR,2020-02-07,26,3,36,14,47,26.0,26.0,28.0,106.0,34.78,5,493
ORL,MIL,2020-02-08,33,0,24,16,28,21.0,9.0,10.0,82.0,36.39,6,552
CHO,DAL,2020-02-08,24,0,17,12,38,31.0,29.0,25.0,88.0,34.58,9,566
DET,NYK,2020-02-08,23,1,17,19,27,29.0,19.0,11.0,92.0,34.010000000000005,6,603
TOR,BKN,2020-02-08,18,0,13,16,35,15.0,30.0,33.0,94.0,35.239999999999995,7,577
IND,NOP,2020-02-08,21,1,27,12,36,27.0,19.0,31.0,96.0,36.79,8,620
MIN,LAC,2020-02-08,36,0,23,5,28,30.0,20.0,10.0,102.0,36.24,4,602
GSW,LAL,2020-02-08,38,1,27,24,48,46.0,33.0,42.0,112.0,36.99,6,620
PHO,DEN,2020-02-08,30,0,23,18,36,36.0,18.0,27.0,104.0,35.5,5,582
SAC,SAS,2020-02-08,26,0,13,12,18,28.0,22.0,22.0,96.0,35.739999999999995,7,585
